SECTOR,TICKER,# SHARES,COST PRICE,TOTAL COST,% COST,CURR PRICE,MKT. VALUE,WEIGHT,$ GAIN,TOTAL $GAIN,% GAIN,ANN. DIV,CURR. YIELD,YIELD ON COST,ANN. INCOME
TECHNOLOGY,AAPL,20,$48.00,$960.00,0.73%,$146.34,"$2,926.80",1.72%,$98.34,"$1,966.80",204.88%,$2.28,6.23%,19.00%,$182.40
,MSFT,50,$29.38,"$1,469.00",1.11%,$70.87,"$3,543.50",2.09%,$41.49,"$2,074.50",141.22%,$0.36,2.03%,4.90%,$72.00
,FB,40,$102.07,"$4,082.80",3.09%,$152.87,"$6,114.80",3.60%,$50.80,"$2,032.00",49.77%, , , , 
,CRM,35,$79.02,"$2,765.70",2.09%,$87.54,"$3,063.90",1.80%,$8.52,$298.20,10.78%, , , , 
,PAYC,66,$38.40,"$2,534.40",1.92%,$70.84,"$4,675.44",2.75%,$32.44,"$2,141.04",84.48%, , , , 
,SWKS,20,$78.81,"$1,576.20",1.19%,$104.06,"$2,081.20",1.22%,$25.25,$505.00,32.04%,$0.26,1.00%,1.32%,$20.80
,EA,35,$72.15,"$2,525.25",1.91%,$113.65,"$3,977.75",2.34%,$41.50,"$1,452.50",57.52%, , , , 
DEFENSE,LMT,10,$246.15,"$2,461.50",1.86%,$282.30,"$2,823.00",1.66%,$36.15,$361.50,14.69%, , , , 
HEALTHCARE,UNH,18,$33.19,$597.42,0.45%,$183.02,"$3,294.36",1.94%,$149.83,"$2,696.94",451.43%,$0.50,1.09%,6.03%,$36.00
,EW,26,$82.88,"$2,154.88",1.63%,$118.84,"$3,089.84",1.82%,$35.96,$934.96,43.39%, , , , 
,PRAH,44,$48.28,"$2,124.32",1.61%,$75.50,"$3,322.00",1.96%,$27.22,"$1,197.68",56.38%, , , , 
,STE,40,$72.23,"$2,889.20",2.19%,$82.45,"$3,298.00",1.94%,$10.22,$408.80,14.15%, , , , 
,INCR,33,$49.04,"$1,618.32",1.22%,$60.65,"$2,001.45",1.18%,$11.61,$383.13,23.67%, , , , 
